Serial,Book Name,Author Name,Ratings
1,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins, 4.32
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling, 4.50
3,To Kill a Mockingbird,Harper Lee, 4.27
4,Pride and Prejudice,Jane Austen, 4.27
5,"Twilight (The Twilight Saga, #1)",Stephenie Meyer, 3.62
6,The Book Thief,Markus Zusak, 4.38
7,Animal Farm,George Orwell, 3.97
8,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",C.S. Lewis, 4.25
9,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien, 4.60
10,The Fault in Our Stars,John Green, 4.17
11,Gone with the Wind,Margaret Mitchell, 4.30
12,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams, 4.22
13,The Giving Tree,Shel Silverstein, 4.37
14,Wuthering Heights,Emily Brontë, 3.87
15,The Picture of Dorian Gray,Oscar Wilde, 4.10
16,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown, 3.88
17,Jane Eyre,Charlotte Brontë, 4.14
18,Memoirs of a Geisha,Arthur Golden, 4.13
19,Alice's Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll, 4.06
20,The Perks of Being a Wallflower,Stephen Chbosky, 4.21
21,Les Misérables,Victor Hugo, 4.18
22,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling, 4.47
23,Fahrenheit 451,Ray Bradbury, 3.98
24,"Divergent (Divergent, #1)",Veronica Roth, 4.17
25,The Great Gatsby,F. Scott Fitzgerald, 3.93
26,The Alchemist,Paulo Coelho, 3.89
27,Crime and Punishment,Fyodor Dostoevsky, 4.24
28,Lord of the Flies,William Golding, 3.69
29,Romeo and Juliet,William Shakespeare, 3.75
30,The Little Prince,Antoine de Saint-Exupéry, 4.31
31,"City of Bones (The Mortal Instruments, #1)",Cassandra Clare, 4.08
32,"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery, 4.27
33,The Help,Kathryn Stockett, 4.46
34,"Ender's Game (Ender's Saga, #1)",Orson Scott Card, 4.30
35,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan, 4.27
36,Charlotte's Web,E.B. White, 4.18
37,Of Mice and Men,John Steinbeck, 3.88
38,Dracula,Bram Stoker, 4.00
39,The Time Traveler's Wife,Audrey Niffenegger, 3.98
40,Brave New World,Aldous Huxley, 3.99
41,One Hundred Years of Solitude,Gabriel García Márquez, 4.09
42,The Catcher in the Rye,J.D. Salinger, 3.81
43,The Princess Bride,William Goldman, 4.25
44,A Thousand Splendid Suns,Khaled Hosseini, 4.39
45,The Secret Garden,Frances Hodgson Burnett, 4.14
46,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin, 4.44
47,"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle, 3.99
48,The Outsiders,S.E. Hinton, 4.11
49,The Adventures of Huckleberry Finn,Mark Twain, 3.82
50,The Odyssey,Homer, 3.79
51,The Lovely Bones,Alice Sebold, 3.83
52,Where the Wild Things Are,Maurice Sendak, 4.22
53,Green Eggs and Ham,Dr. Seuss, 4.29
54,Life of Pi,Yann Martel, 3.92
55,A Tale of Two Cities,Charles Dickens, 3.86
56,The Kite Runner,Khaled Hosseini, 4.32
57,Water for Elephants,Sara Gruen, 4.09
58,Lolita,Vladimir Nabokov, 3.88
59,Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley, 3.83
